Date,P1,P2,P3,Q1,Q2,Q3
1997/1/4,0.13,0.13,0.05,423,398,372
1997/1/5,0.13,0.05,0,398,372,342
1997/1/6,0.05,0,0,372,342,312
1997/1/7,0,0,0,342,312,282
1997/1/8,0,0,0,312,282,248
1997/1/9,0,0,0,282,248,217
1997/1/10,0,0,0,248,217,209
1997/1/11,0,0,0,217,209,254
1997/1/12,0,0,0,209,254,311
1997/1/13,0,0,0,254,311,352
1997/1/14,0,0,0.63,311,352,353
1997/1/15,0,0.63,0,352,353,340
1997/1/16,0.63,0,0.8,353,340,326
1997/1/17,0,0.8,0.9,340,326,312
1997/1/18,0.8,0.9,3.55,326,312,300
1997/1/19,0.9,3.55,0,312,300,287
1997/1/20,3.55,0,0,300,287,277
1997/1/21,0,0,0,287,277,268
1997/1/22,0,0,0,277,268,258
1997/1/23,0,0,7.87,268,258,251
1997/1/24,0,7.87,0,258,251,244
1997/1/25,7.87,0,0,251,244,237
1997/1/26,0,0,0,244,237,232
1997/1/27,0,0,0,237,232,229
1997/1/28,0,0,0,232,229,226
1997/1/29,0,0,0,229,226,225
1997/1/30,0,0,1.52,226,225,225
1997/1/31,0,1.52,0.65,225,225,228
1997/2/1,1.52,0.65,3.9,225,228,232
1997/2/2,0.65,3.9,3.15,228,232,238
1997/2/3,3.9,3.15,0,232,238,245
1997/2/4,3.15,0,0.48,238,245,254
1997/2/5,0,0.48,0,245,254,266
1997/2/6,0.48,0,0,254,266,278
1997/2/7,0,0,0,266,278,289
1997/2/8,0,0,0,278,289,294
1997/2/9,0,0,0,289,294,281
1997/2/10,0,0,0,294,281,254
1997/2/11,0,0,0,281,254,218
1997/2/12,0,0,0,254,218,189
1997/2/13,0,0,0,218,189,185
1997/2/14,0,0,0,189,185,185
1997/2/15,0,0,0,185,185,185
1997/2/16,0,0,0,185,185,184
1997/2/17,0,0,0,185,184,184
1997/2/18,0,0,0,184,184,183
1997/2/19,0,0,0,184,183,181
1997/2/20,0,0,0,183,181,177
1997/2/21,0,0,0,181,177,174
1997/2/22,0,0,0,177,174,171
1997/2/23,0,0,0,174,171,169
1997/2/24,0,0,6.07,171,169,166
1997/2/25,0,6.07,14.4,169,166,165
1997/2/26,6.07,14.4,0.52,166,165,164
1997/2/27,14.4,0.52,0.92,165,164,163
1997/2/28,0.52,0.92,4.4,164,163,165
1997/3/1,0.92,4.4,0,163,165,170
1997/3/2,4.4,0,0,165,170,183
1997/3/3,0,0,0,170,183,208
1997/3/4,0,0,0,183,208,229
1997/3/5,0,0,0,208,229,230
1997/3/6,0,0,0.75,229,230,222
1997/3/7,0,0.75,0,230,222,206
1997/3/8,0.75,0,0,222,206,191
1997/3/9,0,0,0.8,206,191,174
1997/3/10,0,0.8,25.43,191,174,156
1997/3/11,0.8,25.43,22.1,174,156,150
1997/3/12,25.43,22.1,57.5,156,150,380
1997/3/13,22.1,57.5,0.43,150,380,771
1997/3/14,57.5,0.43,12.67,380,771,1230
1997/3/15,0.43,12.67,8.43,771,1230,1510
1997/3/16,12.67,8.43,0,1230,1510,1700
1997/3/17,8.43,0,0,1510,1700,1820
1997/3/18,0,0,0,1700,1820,1850
1997/3/19,0,0,0.83,1820,1850,1820
1997/3/20,0,0.83,1.7,1850,1820,1710
1997/3/21,0.83,1.7,0.8,1820,1710,1570
1997/3/22,1.7,0.8,0,1710,1570,1450
1997/3/23,0.8,0,0,1570,1450,1350
1997/3/24,0,0,0,1450,1350,1250
1997/3/25,0,0,0,1350,1250,1160
1997/3/26,0,0,0,1250,1160,1070
1997/3/27,0,0,0.1,1160,1070,990
1997/3/28,0,0.1,0,1070,990,887
1997/3/29,0.1,0,0,990,887,799
1997/3/30,0,0,0,887,799,742
1997/3/31,0,0,0,799,742,722
1997/4/1,0,0,0,742,722,712
1997/4/2,0,0,15.98,722,712,674
1997/4/3,0,15.98,7.05,712,674,644
1997/4/4,15.98,7.05,1.48,674,644,636
1997/4/5,7.05,1.48,0.25,644,636,638
1997/4/6,1.48,0.25,0,636,638,660
1997/4/7,0.25,0,0,638,660,684
1997/4/8,0,0,4.98,660,684,697
1997/4/9,0,4.98,0,684,697,764
1997/4/10,4.98,0,0,697,764,712
1997/4/11,0,0,0,764,712,596
1997/4/12,0,0,0,712,596,500
1997/4/13,0,0,0,596,500,423
1997/4/14,0,0,0,500,423,358
1997/4/15,0,0,0,423,358,316
1997/4/16,0,0,1.52,358,316,303
1997/4/17,0,1.52,1.35,316,303,296
1997/4/18,1.52,1.35,0,303,296,290
1997/4/19,1.35,0,0,296,290,286
1997/4/20,0,0,0.95,290,286,283
1997/4/21,0,0.95,0,286,283,279
