date,P,Q
2005/1/1,0,144
2005/1/2,0,150
2005/1/3,0,155
2005/1/4,0,157
2005/1/5,0,159
2005/1/6,0,160
2005/1/7,0,160
2005/1/8,0,161
2005/1/9,0,161
2005/1/10,0,160
2005/1/11,0,158
2005/1/12,0,152
2005/1/13,0,142
2005/1/14,0,136
2005/1/15,0,147
2005/1/16,0,212
2005/1/17,0,251
2005/1/18,0,250
2005/1/19,0,233
2005/1/20,0,202
2005/1/21,0,167
2005/1/22,0,155
2005/1/23,0,152
2005/1/24,0.68,154
2005/1/25,8.93,164
2005/1/26,0.28,182
2005/1/27,1.42,186
2005/1/28,0,182
2005/1/29,0,172
2005/1/30,0,164
2005/1/31,0,157
2005/2/1,0,152
2005/2/2,0,150
2005/2/3,0,148
2005/2/4,0,147
2005/2/5,0,144
2005/2/6,1.6,140
2005/2/7,1.73,136
2005/2/8,0.85,132
2005/2/9,2.25,126
2005/2/10,7.2,121
2005/2/11,0,115
2005/2/12,2.23,110
2005/2/13,0,108
2005/2/14,7.65,111
2005/2/15,12.38,121
2005/2/16,1.45,135
2005/2/17,0,152
2005/2/18,2,167
2005/2/19,0,180
2005/2/20,0,185
2005/2/21,0,182
2005/2/22,0,175
2005/2/23,0,170
2005/2/24,0.48,170
2005/2/25,0.13,197
2005/2/26,0.37,311
2005/2/27,0,338
2005/2/28,0,336
2005/3/1,0,316
2005/3/2,0,285
2005/3/3,0,250
2005/3/4,0,210
2005/3/5,0,177
2005/3/6,0,178
2005/3/7,0,202
2005/3/8,0,237
2005/3/9,0,267
2005/3/10,0,273
2005/3/11,0.2,264
2005/3/12,6.15,235
2005/3/13,0,201
2005/3/14,0,170
2005/3/15,0.13,146
2005/3/16,0,130
2005/3/17,2.6,121
2005/3/18,0,114
2005/3/19,0,110
2005/3/20,0,107
2005/3/21,6.5,106
2005/3/22,19.12,106
2005/3/23,0,115
2005/3/24,0,144
2005/3/25,0,177
2005/3/26,0,196
2005/3/27,0,198
2005/3/28,0,184
2005/3/29,0,165
2005/3/30,0,157
2005/3/31,0,154
2005/4/1,0,153
2005/4/2,0,149
2005/4/3,0,145
2005/4/4,0,140
2005/4/5,0,135
2005/4/6,0,130
2005/4/7,0,126
2005/4/8,0,124
2005/4/9,13.47,124
2005/4/10,8.32,124
2005/4/11,0,127
2005/4/12,0.68,131
2005/4/13,0,136
2005/4/14,0,141
2005/4/15,0,145
2005/4/16,0,148
2005/4/17,0,151
2005/4/18,0,155
2005/4/19,9.65,163
2005/4/20,1.2,173
2005/4/21,3.75,172
2005/4/22,0,169
2005/4/23,0,167
2005/4/24,0,165
2005/4/25,0,163
2005/4/26,0,154
2005/4/27,0,140
2005/4/28,0,126
2005/4/29,0,122
2005/4/30,35.95,126
2005/5/1,0,131
2005/5/2,13.4,138
2005/5/3,0,174
2005/5/4,3.53,447
2005/5/5,20.85,672
2005/5/6,0.73,707
2005/5/7,0,653
2005/5/8,0,620
2005/5/9,0,610
2005/5/10,0,479
2005/5/11,0,373
2005/5/12,0,348
2005/5/13,24.2,363
2005/5/14,2.45,415
2005/5/15,0.15,494
2005/5/16,19.9,564
2005/5/17,25.12,601
2005/5/18,0,583
2005/5/19,0,773
2005/5/20,0,1180
2005/5/21,0.88,1290
2005/5/22,0,1290
2005/5/23,0,1160
2005/5/24,0,990
2005/5/25,0,790
2005/5/26,0,545
2005/5/27,0,321
2005/5/28,0,302
2005/5/29,0,321
2005/5/30,0,294
2005/5/31,0,255
2005/6/1,0,235
2005/6/2,0,236
2005/6/3,0,222
2005/6/4,0,201
2005/6/5,0,178
2005/6/6,0.08,155
2005/6/7,0.63,138
2005/6/8,0,135
2005/6/9,14.45,138
2005/6/10,89.98,138
2005/6/11,0,299
2005/6/12,0,657
2005/6/13,0,935
2005/6/14,0,1100
2005/6/15,0,1140
2005/6/16,0,925
2005/6/17,0.3,673
2005/6/18,0,553
2005/6/19,0,482
2005/6/20,0,423
2005/6/21,0.05,368
2005/6/22,0,306
2005/6/23,0,213
2005/6/24,0,112
2005/6/25,0,93.1
2005/6/26,20.7,262
2005/6/27,0,286
2005/6/28,0,310
2005/6/29,0,616
2005/6/30,0,1010
2005/7/1,0,1130
2005/7/2,0,961
2005/7/3,0,714
2005/7/4,0,749
2005/7/5,0,751
2005/7/6,3.93,591
2005/7/7,79.87,410
2005/7/8,6.77,879
2005/7/9,33.68,1430
2005/7/10,118.55,1640
2005/7/11,25.68,2230
2005/7/12,0,2960
2005/7/13,0,3900
2005/7/14,0,4970
2005/7/15,0,5800
2005/7/16,0,5910
2005/7/17,14.55,5400
2005/7/18,0,4820
2005/7/19,0,4310
2005/7/20,2.15,3890
2005/7/21,11.15,3580
2005/7/22,8.43,3300
2005/7/23,0.57,3070
2005/7/24,13.63,2910
2005/7/25,4.95,3000
2005/7/26,0,3150
2005/7/27,0,3190
2005/7/28,44.5,3330
2005/7/29,0.23,3430
2005/7/30,0.6,3320
2005/7/31,2.85,3160
2005/8/1,0,3260
2005/8/2,0,3350
2005/8/3,50.22,3270
2005/8/4,0.23,3300
2005/8/5,0.03,3370
2005/8/6,1.95,3360
2005/8/7,10.3,3290
2005/8/8,10.25,3210
2005/8/9,0,3120
2005/8/10,0,3020
2005/8/11,0,2930
2005/8/12,0,2810
2005/8/13,0,2680
2005/8/14,0.3,2530
2005/8/15,0,2360
2005/8/16,0,2190
2005/8/17,0,2010
2005/8/18,1.87,1830
2005/8/19,17.4,1660
2005/8/20,1.5,1500
2005/8/21,0.58,1380
2005/8/22,24.55,1330
2005/8/23,56.3,1340
2005/8/24,17.42,1470
2005/8/25,0,1840
2005/8/26,0,2780
2005/8/27,0,3630
2005/8/28,1.95,4070
2005/8/29,20.58,4040
2005/8/30,46.75,3680
2005/8/31,0.85,3420
2005/9/1,0,3590
2005/9/2,0,4400
2005/9/3,18.92,5150
2005/9/4,38.5,5480
2005/9/5,3.35,6100
2005/9/6,0,6630
2005/9/7,0,6620
2005/9/8,0,6180
2005/9/9,0,5770
2005/9/10,0,5390
2005/9/11,0,4970
2005/9/12,0.2,4540
2005/9/13,0.38,4080
2005/9/14,0,3550
2005/9/15,1.77,3070
2005/9/16,0,2790
2005/9/17,10.95,2630
2005/9/18,2.45,2480
2005/9/19,0,2370
2005/9/20,2.8,2260
2005/9/21,0.1,2130
2005/9/22,2.07,2050
2005/9/23,0,1970
2005/9/24,1.57,1890
2005/9/25,1.8,1780
2005/9/26,7.23,1710
2005/9/27,6.1,1670
2005/9/28,2.4,1770
2005/9/29,0,1830
2005/9/30,0,2030
2005/10/1,0,2120
2005/10/2,7.13,2130
2005/10/3,3.8,2140
2005/10/4,0.125,2140
2005/10/5,0.23,2120
2005/10/6,0,2150
2005/10/7,0,2360
2005/10/8,0,2410
2005/10/9,0,2320
2005/10/10,0,2170
2005/10/11,0,2010
2005/10/12,0,1830
2005/10/13,1.05,1670
2005/10/14,0.45,1540
2005/10/15,0,1480
2005/10/16,0,1490
2005/10/17,0,1430
2005/10/18,0,1290
2005/10/19,0,1140
2005/10/20,0.08,999
2005/10/21,2.3,873
2005/10/22,0,765
2005/10/23,0,677
2005/10/24,0,618
2005/10/25,0,600
2005/10/26,0,631
2005/10/27,0,635
2005/10/28,4.37,603
2005/10/29,0,544
2005/10/30,0,461
2005/10/31,0,438
2005/11/1,0,446
2005/11/2,0.55,460
2005/11/3,0,472
2005/11/4,0.08,469
2005/11/5,4.72,426
2005/11/6,3.6,393
2005/11/7,0,376
2005/11/8,0,367
2005/11/9,1.68,364
2005/11/10,0,365
2005/11/11,5.9,372
2005/11/12,0.08,394
2005/11/13,0,441
2005/11/14,14.73,505
2005/11/15,0.08,541
2005/11/16,0,556
2005/11/17,0,570
2005/11/18,0,631
2005/11/19,0,715
2005/11/20,0,676
2005/11/21,0,540
2005/11/22,0,460
2005/11/23,0,447
2005/11/24,0,483
2005/11/25,0,503
2005/11/26,0,478
2005/11/27,0,474
2005/11/28,0,485
2005/11/29,0,482
2005/11/30,0,469
2005/12/1,0,446
2005/12/2,0,404
2005/12/3,0,355
2005/12/4,0,328
2005/12/5,0,310
2005/12/6,0,296
2005/12/7,0,282
2005/12/8,0,267
2005/12/9,0,241
2005/12/10,0,205
2005/12/11,0.13,181
2005/12/12,0,170
2005/12/13,0,178
2005/12/14,0,207
2005/12/15,0,264
2005/12/16,0,344
2005/12/17,0,429
2005/12/18,0,447
2005/12/19,0,431
2005/12/20,0,402
2005/12/21,0,368
2005/12/22,0,339
2005/12/23,0,323
2005/12/24,0,342
2005/12/25,0,370
2005/12/26,0,340
2005/12/27,0,259
2005/12/28,0,243
2005/12/29,0,251
2005/12/30,0,237
2005/12/31,7.05,229
2006/1/1,0,252
2006/1/2,0,296
2006/1/3,0,300
2006/1/4,4.93,299
2006/1/5,5.5,299
2006/1/6,0,297
2006/1/7,0,280
2006/1/8,0,256
2006/1/9,0,247
2006/1/10,0,286
2006/1/11,0,296
2006/1/12,0,288
2006/1/13,0,304
2006/1/14,0.1,346
2006/1/15,0,380
2006/1/16,0.05,385
2006/1/17,3.63,371
2006/1/18,7.65,363
2006/1/19,29.18,375
2006/1/20,8.02,418
2006/1/21,1.12,480
2006/1/22,0,531
2006/1/23,0,553
2006/1/24,0,550
2006/1/25,0,531
2006/1/26,0,515
2006/1/27,0,517
2006/1/28,0,525
2006/1/29,0,526
2006/1/30,0,506
2006/1/31,1.3,472
2006/2/1,0,440
2006/2/2,0.58,424
2006/2/3,3.83,448
2006/2/4,0,481
2006/2/5,3.65,476
2006/2/6,4.13,443
2006/2/7,0,387
2006/2/8,0,327
2006/2/9,0.15,324
2006/2/10,0,336
2006/2/11,0,340
2006/2/12,0,332
2006/2/13,0,330
2006/2/14,0.38,363
2006/2/15,18.52,438
2006/2/16,2.97,478
2006/2/17,0,486
2006/2/18,0,534
2006/2/19,0,890
2006/2/20,0,1060
2006/2/21,0,1040
2006/2/22,0.45,970
2006/2/23,0,869
2006/2/24,0,713
2006/2/25,0,548
2006/2/26,0,458
2006/2/27,0,419
2006/2/28,6.92,429
2006/3/1,0.1,447
2006/3/2,0,429
2006/3/3,0,405
2006/3/4,0,401
2006/3/5,0,409
2006/3/6,0,415
2006/3/7,0,422
2006/3/8,0,429
2006/3/9,0,434
2006/3/10,0,434
2006/3/11,0,426
2006/3/12,0.35,417
2006/3/13,0,408
2006/3/14,0,401
2006/3/15,0,417
2006/3/16,0,538
2006/3/17,0,659
2006/3/18,0,637
2006/3/19,0,568
2006/3/20,0,495
2006/3/21,0,427
2006/3/22,0,384
2006/3/23,0,375
2006/3/24,0,374
2006/3/25,0,364
2006/3/26,0,339
2006/3/27,0,305
2006/3/28,0,272
2006/3/29,0,244
2006/3/30,0,242
2006/3/31,0,255
2006/4/1,8.15,272
2006/4/2,0,288
2006/4/3,0,282
2006/4/4,27.28,265
2006/4/5,29.53,320
2006/4/6,0,518
2006/4/7,0,666
2006/4/8,0,687
2006/4/9,1.53,683
2006/4/10,2.62,635
2006/4/11,0,554
2006/4/12,3.23,480
2006/4/13,6.85,431
2006/4/14,0,403
2006/4/15,0,418
2006/4/16,0,522
2006/4/17,0,583
2006/4/18,0,519
2006/4/19,0,486
2006/4/20,0,538
2006/4/21,3.18,574
2006/4/22,14.27,577
2006/4/23,0,544
2006/4/24,0,387
2006/4/25,0,344
2006/4/26,15.05,365
2006/4/27,0.13,390
2006/4/28,0,447
2006/4/29,0,599
2006/4/30,0,667
2006/5/1,0,595
2006/5/2,0,470
2006/5/3,0,355
2006/5/4,0,320
2006/5/5,1.13,358
2006/5/6,10.63,398
2006/5/7,0,370
2006/5/8,0.13,286
2006/5/9,0.77,232
2006/5/10,19.6,257
2006/5/11,0,340
2006/5/12,10.25,384
2006/5/13,3.85,430
2006/5/14,0,632
2006/5/15,0,662
2006/5/16,0,671
2006/5/17,0,669
2006/5/18,0,614
2006/5/19,0,486
2006/5/20,0,370
2006/5/21,0,322
2006/5/22,4.88,298
2006/5/23,0,275
2006/5/24,0,250
2006/5/25,24.72,225
2006/5/26,15.77,295
2006/5/27,0.75,342
2006/5/28,0,328
2006/5/29,0,298
2006/5/30,0,246
2006/5/31,0,198
2006/6/1,0,180
2006/6/2,0,171
2006/6/3,0,166
2006/6/4,0.4,163
2006/6/5,0,160
2006/6/6,0.33,158
2006/6/7,0,156
2006/6/8,0,155
2006/6/9,0,155
2006/6/10,0,158
2006/6/11,0,162
2006/6/12,0,166
2006/6/13,0,173
2006/6/14,7.92,174
2006/6/15,0.05,114
2006/6/16,0,65.3
2006/6/17,0,38.8
2006/6/18,0,36.9
2006/6/19,0,116
2006/6/20,0,111
2006/6/21,0,93.4
2006/6/22,18.9,91.1
2006/6/23,10.6,99.2
2006/6/24,10,93.4
2006/6/25,0,90.6
2006/6/26,0,112
2006/6/27,0,139
2006/6/28,0,167
2006/6/29,21.53,215
2006/6/30,57.27,365
2006/7/1,8.3,898
2006/7/2,3.1,1280
2006/7/3,0.28,1530
2006/7/4,0.1,1640
2006/7/5,50.1,1710
2006/7/6,9.53,2030
2006/7/7,0,2170
2006/7/8,0,2160
2006/7/9,0,2140
2006/7/10,48.12,1920
2006/7/11,5.13,1940
2006/7/12,0,2000
2006/7/13,0,1810
2006/7/14,0,1620
2006/7/15,0.42,1440
2006/7/16,5.6,1340
2006/7/17,0.48,1190
2006/7/18,0.2,924
2006/7/19,0,615
2006/7/20,6.38,635
2006/7/21,0,489
2006/7/22,63.25,454
2006/7/23,24.22,1130
2006/7/24,5.78,1590
2006/7/25,0.1,1670
2006/7/26,0.05,1650
2006/7/27,8.07,1700
2006/7/28,22.98,1730
2006/7/29,1.05,1840
2006/7/30,0,2460
2006/7/31,0,2520
2006/8/1,1.05,2500
2006/8/2,2,2420
2006/8/3,0,2290
2006/8/4,7.97,2140
2006/8/5,1.28,2080
2006/8/6,0.88,2130
2006/8/7,16.98,2190
2006/8/8,7.55,2190
2006/8/9,1.65,2180
2006/8/10,0,2080
2006/8/11,0,1950
2006/8/12,0,1810
2006/8/13,0,1650
2006/8/14,0,1460
2006/8/15,0.15,1270
2006/8/16,0,1070
2006/8/17,0,870
2006/8/18,0,760
2006/8/19,0,766
2006/8/20,0,753
2006/8/21,0,591
2006/8/22,0,445
2006/8/23,0,374
2006/8/24,0,329
2006/8/25,25.47,286
2006/8/26,4.65,284
2006/8/27,12.85,393
2006/8/28,5.1,426
2006/8/29,0.05,508
2006/8/30,6.2,626
2006/8/31,0.03,594
2006/9/1,0,552
2006/9/2,1.52,614
2006/9/3,0,551
2006/9/4,0,501
2006/9/5,42.85,500
2006/9/6,0.5,505
2006/9/7,0,571
2006/9/8,14.2,858
2006/9/9,14.73,1000
2006/9/10,0,1040
2006/9/11,0,1050
2006/9/12,0,1040
2006/9/13,0,969
